from_td;to_td;h6;h7;h8;h9
21;25;96;490;480;427
21;27;2;8;6;6
21;28;96;490;400;183
21;29;7;18;21;16
21;38;3;8;9;6
22;4;25;77;65;90
22;5;360;790;540;1096
22;6;36;104;240;184
22;7;90;160;360;204
22;10;91;116;66;100
22;11;5;18;6;18
22;14;48;371;300;276
22;16;234;516;490;148
22;17;8;6;27;18
22;18;135;264;228;174
22;20;7;16;21;16
22;23;120;594;300;228
22;24;6;6;18;14
22;25;102;600;765;130
22;27;3;18;12;10
22;28;99;365;249;126
22;29;8;12;18;8
22;38;4;12;12;4
23;3;6;16;21;10
23;4;24;91;60;55
23;5;376;1035;705;1253
23;6;112;175;360;270
23;7;46;306;464;308
23;10;85;259;215;192
23;11;7;6;18;4
23;14;62;612;624;531
23;16;104;570;390;297
23;17;6;8;27;12
23;18;95;252;240;180
23;20;5;14;9;10
23;22;18;32;10;36
23;24;7;14;18;8
23;25;396;873;220;504
23;27;9;12;9;8
23;28;172;855;324;574
23;29;2;4;21;10
23;32;6;16;18;10
23;38;4;36;15;32
24;4;12;54;50;56
24;5;390;1287;326;744
24;6;99;96;56;126
24;7;64;210;360;270
24;10;88;192;56;189
24;11;4;4;24;14
24;14;88;288;275;252
24;16;252;632;630;136
24;17;8;12;12;6
24;18;56;93;175;54
24;20;9;14;18;6
24;22;6;16;27;14
24;23;135;413;340;357
24;25;217;204;156;295
24;27;8;12;27;6
24;28;240;462;300;513
24;29;3;12;12;16
24;38;6;18;9;10
25;3;6;8;21;6
25;4;80;176;200;171
25;5;785;2760;3144;1490
25;6;54;236;544;357
25;7;205;180;824;390
25;10;252;124;490;212
25;11;10;32;45;20
25;14;486;1071;270;309
25;15;9;14;12;8
25;16;630;594;2025;1197
25;17;6;4;21;18
25;18;170;375;680;325
25;20;27;42;40;30
25;22;15;56;72;36
25;23;594;1160;1485;500
25;24;4;8;15;24
25;27;3;4;6;4
25;28;600;990;1128;715
25;29;9;56;16;54
25;32;6;6;18;12
25;38;15;42;40;54
26;3;5;4;24;14
26;4;10;66;52;40
26;5;164;1260;410;468
26;6;70;124;140;108
26;7;84;322;159;280
26;10;45;165;76;87
26;11;9;4;27;8
26;14;252;372;490;371
26;16;322;808;1035;348
26;17;9;4;18;8
26;18;102;333;301;288
26;20;2;12;24;8
26;22;8;14;15;16
26;23;105;539;704;134
26;24;5;8;18;14
26;25;200;704;600;228
26;27;9;4;27;14
26;28;78;602;588;518
26;29;2;12;21;4
26;32;6;10;15;10
26;38;4;28;20;12
27;4;27;14;48;30
27;5;88;776;440;420
27;6;35;75;54;52
27;7;33;192;140;168
27;10;48;126;140;90
27;11;5;10;15;16
27;14;105;297;228;203
27;16;200;275;567;144
27;18;45;60;161;68
27;20;4;18;12;10
27;22;2;12;18;14
27;23;133;336;336;180
27;24;2;8;18;12
27;25;84;138;212;320
27;28;147;368;106;200
27;29;9;12;12;6
27;38;3;10;27;8
28;3;9;6;6;18
28;4;14;105;72;91
28;5;927;1135;516;1176
