from_td;to_td;h6;h7;h8;h9
25;18;34;75;85;65
25;20;3;7;8;6
25;22;3;7;8;6
25;23;66;145;165;125
25;24;2;4;5;4
25;27;1;2;3;2
25;28;75;165;188;143
25;29;3;7;8;6
25;32;1;2;3;2
25;38;3;7;8;6
26;3;1;2;3;2
26;4;5;11;13;10
26;5;82;180;205;156
26;6;14;31;35;27
26;7;21;46;53;40
26;10;15;33;38;29
26;11;1;2;3;2
26;14;28;62;70;53
26;16;46;101;115;87
26;17;1;2;3;2
26;18;17;37;43;32
26;20;1;2;3;2
26;22;1;2;3;2
26;23;35;77;88;67
26;24;1;2;3;2
26;25;40;88;100;76
26;27;1;2;3;2
26;28;39;86;98;74
26;29;1;2;3;2
26;32;1;2;3;2
26;38;2;4;5;4
27;4;3;7;8;6
27;5;44;97;110;84
27;6;7;15;18;13
27;7;11;24;28;21
27;10;8;18;20;15
27;11;1;2;3;2
27;14;15;33;38;29
27;16;25;55;63;48
27;18;9;20;23;17
27;20;1;2;3;2
27;22;1;2;3;2
27;23;19;42;48;36
27;24;1;2;3;2
27;25;21;46;53;40
27;28;21;46;53;40
27;29;1;2;3;2
27;38;1;2;3;2
28;3;1;2;3;2
28;4;7;15;18;13
28;5;103;227;258;196
28;6;18;40;45;34
28;7;27;59;68;51
28;10;19;42;48;36
28;11;1;2;3;2
28;14;36;79;90;68
28;16;60;132;150;114
28;17;1;2;3;2
28;18;23;51;58;44
28;20;2;4;5;4
28;22;2;4;5;4
28;23;43;95;108;82
28;24;1;2;3;2
28;25;50;110;125;95
28;27;1;2;3;2
28;29;2;4;5;4
28;32;1;2;3;2
28;38;2;4;5;4
29;3;1;2;3;2
29;4;5;11;13;10
29;5;86;189;215;163
29;6;15;33;38;29
29;7;23;51;58;44
29;10;15;33;38;29
29;11;1;2;3;2
29;14;30;66;75;57
29;16;50;110;125;95
29;17;1;2;3;2
29;18;19;42;48;36
29;20;1;2;3;2
29;22;1;2;3;2
29;23;36;79;90;68
29;24;1;2;3;2
29;25;42;92;105;80
29;27;1;2;3;2
29;28;42;92;105;80
29;32;1;2;3;2
29;38;2;4;5;4
30;4;3;7;8;6
30;5;47;103;118;89
30;6;8;18;20;15
30;7;13;29;33;25
30;10;8;18;20;15
30;11;1;2;3;2
30;14;16;35;40;30
30;16;28;62;70;53
30;18;10;22;25;19
30;20;1;2;3;2
30;22;1;2;3;2
30;23;20;44;50;38
30;24;1;2;3;2
30;25;23;51;58;44
30;28;23;51;58;44
30;29;1;2;3;2
30;38;1;2;3;2
31;3;1;2;3;2
31;4;7;15;18;13
31;5;111;244;278;211
31;6;19;42;48;36
31;7;30;66;75;57
31;10;20;44;50;38
31;11;1;2;3;2
31;14;39;86;98;74
31;16;65;143;163;124
31;17;1;2;3;2
31;18;24;53;60;46
31;20;2;4;5;4
31;22;2;4;5;4
31;23;46;101;115;87
31;24;1;2;3;2
31;25;54;119;135;103
31;27;1;2;3;2
31;28;55;121;138;105
31;29;2;4;5;4
31;32;1;2;3;2
31;38;2;4;5;4
32;4;2;4;5;4
32;5;29;64;73;55
32;6;5;11;13;10
32;7;8;18;20;15
32;10;5;11;13;10
32;14;10;22;25;19
32;16;17;37;43;32
32;18;6;13;15;11
32;20;1;2;3;2
32;23;12;26;30;23
32;25;14;31;35;27
32;28;14;31;35;27
32;38;1;2;3;2
34;4;1;2;3;2
34;5;13;29;33;25
34;6;2;4;5;4
34;7;3;7;8;6
34;10;2;4;5;4
34;14;4;9;10;8
34;16;7;15;18;13
34;18;3;7;8;6
34;23;5;11;13;10
34;25;6;13;15;11
34;28;6;13;15;11
35;4;1;2;3;2
35;5;9;20;23;17
35;6;2;4;5;4
35;7;2;4;5;4
35;10;2;4;5;4
35;14;3;7;8;6
35;16;6;13;15;11
35;18;2;4;5;4
35;23;4;9;10;8
35;25;4;9;10;8
35;28;4;9;10;8
36;4;1;2;3;2
36;5;20;44;50;38
36;6;3;7;8;6
36;7;5;11;13;10
36;10;3;7;8;6
36;14;6;13;15;11
36;16;11;24;28;21
36;18;4;9;10;8
36;23;8;18;20;15
36;25;9;20;23;17
36;28;9;20;23;17
37;5;1;2;3;2
38;3;1;2;3;2
38;4;5;11;13;10
38;5;81;178;203;154
38;6;14;31;35;27
38;7;22;48;55;42
38;10;15;33;38;29
38;11;1;2;3;2
38;14;29;64;73;55
38;16;49;108;123;93
38;17;1;2;3;2
38;18;18;40;45;34
38;20;1;2;3;2
38;22;1;2;3;2
38;23;34;75;85;65
38;24;1;2;3;2
38;25;39;86;98;74
38;27;1;2;3;2
38;28;40;88;100;76
38;29;1;2;3;2
38;32;1;2;3;2
